spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
unpolarized,pure_initial_state,user_frame_independent,s,2.0655210239999995e+01,qOut,4.5624999999999999e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,1.9083511737992174e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0450541510368373e+01,8.4340477384789647e-01,-8.3161121541771479e+00,2.8201992860648333e+00,6.2658241804745507e-01,8.8893561812833250e+03,8.8893561812833250e+03,9.9999999999999978e-01,True,1,1,4.8905978492111108e-19,1.0228454058466104e-17,8.0059200602882498e-03,0.0000000000000000e+00,8.0059204168665497e-03,8.0059204169081518e-03,0.0000000000000000e+00,-1.0486045189937880e-34,5.7094748579563509e-12,5.7101409782185988e-12
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,4.5624999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,1.9829761515836033e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1127076769227312e+01,8.4753386471416281e-01,-8.9287728167114029e+00,2.8815367495930380e+00,6.2321143243053478e-01,8.9188942798901371e+03,8.9188942798901371e+03,1.0000000000000000e+00,True,1,1,7.4213382935124730e-18,2.7618861596718695e-17,7.4359915080298980e-03,0.0000000000000000e+00,7.4359934806261744e-03,7.4359934806261744e-03,0.0000000000000000e+00,-8.1787777796545729e-34,2.9336422207497728e-11,2.9336422207497728e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,4.5624999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.0551307971104578e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1802652359746858e+01,8.5131311387709308e-01,-9.5424731791078514e+00,2.9412472589838616e+00,6.2011404597312458e-01,8.9467608613934644e+03,8.9467608613934644e+03,9.9999999999999989e-01,True,1,1,1.9357019468602379e-17,3.0651224609239628e-17,6.9397041488185500e-03,1.4901161193847656e-08,6.9397054987622711e-03,6.9397054987622711e-03,1.1940720193996471e-10,2.2204460492503131e-16,1.8736421905619048e-11,1.8736421905619048e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,4.5624999999999999e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.1250467748482542e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2477349874807423e+01,8.5479113501449111e-01,-1.0157117720712021e+01,2.9994516317721205e+00,6.1725401075966480e-01,8.9731139189239639e+03,8.9731139189239639e+03,9.9999999999999989e-01,True,1,1,1.2815394483794796e-17,3.6451800859485603e-17,6.5038065220005712e-03,2.5809568279517847e-08,6.5038067784719666e-03,6.5038067785231782e-03,1.9382854635229805e-10,6.6613381477509383e-16,3.3360807334941595e-12,3.3367468740851981e-12
unpolarized,pure_initial_state,user_frame_independent,s,2.5819012799999996e+01,qOut,4.5624999999999999e-01,2.5819012799999996e+01,5.0812412656751498e+00,2.4540429686412759e+00,2.1929215308402652e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.3151240173804240e+01,8.5800743760291243e-01,-1.0772624900324599e+01,3.0562567082569743e+00,6.1460159338033826e-01,8.9980901587617573e+03,8.9980901587617573e+03,1.0000000000000000e+00,True,1,1,9.8436722607493957e-18,1.0717240514083456e-17,6.1180270325476701e-03,0.0000000000000000e+00,6.1180282633873529e-03,6.1180282634054999e-03,0.0000000000000000e+00,-2.1175712781375896e-34,1.5060622413358600e-11,1.5060844464739789e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.5491407679999998e+01,qOut,6.1250000000000004e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.4627142137467350e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.0779557016737691e+00,7.9144750198568992e-01,-5.4679285796938544e+00,3.0084473959375164e+00,6.9852613458351531e-01,4.4532953163937236e+03,4.4532953163937236e+03,1.0000000000000000e+00,True,1,1,3.7138038728513777e-17,5.0214300344876056e-17,1.7693405692685175e-02,2.1073424255447017e-08,1.7693406326170794e-02,1.7693406326164521e-02,4.3054240257715035e-10,4.4408920985006271e-16,2.2417036488805303e-11,2.2416814498410487e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.6782358319999997e+01,qOut,6.1250000000000004e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.5532327316436296e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.7722799075844122e+00,7.9784041102065495e-01,-6.0633072903855174e+00,3.1025949111256583e+00,6.9140203853688953e-01,4.4873107094134721e+03,4.4873107094134721e+03,1.0000000000000000e+00,True,1,1,1.3900280852775345e-18,1.9616071275847808e-17,1.5863577075677742e-02,1.4901161193847656e-08,1.5863577557263208e-02,1.5863577557249209e-02,2.7295472547768908e-10,2.2204460492503131e-16,1.5279336552497663e-11,1.5278892409077705e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.8073308959999999e+01,qOut,6.1250000000000004e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.6393515577931448e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.4645637892817920e+00,8.0356190648378678e-01,-6.6607273666657454e+00,3.1935436063745279e+00,6.8504303367925201e-01,4.5184111766028400e+03,4.5184111766028400e+03,1.0000000000000000e+00,True,1,1,6.3799192741406533e-18,2.0015432068236606e-17,1.4364232549796111e-02,0.0000000000000000e+00,1.4364233243334202e-02,1.4364233243326474e-02,0.0000000000000000e+00,-4.4132089082274571e-34,1.9924285338994777e-11,1.9924063321494906e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,4.5470775026636347e+03,9.9999999999999989e-01,True,1,1,9.5849547988402271e-18,7.2319730211894199e-17,1.3114322803508908e-02,0.0000000000000000e+00,1.3114323549700799e-02,1.3114323549700799e-02,0.0000000000000000e+00,-5.3220147364169725e-33,1.9571603208532948e-11,1.9571603208532948e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.0655210239999995e+01,qOut,6.1250000000000004e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,1.8006566704830158e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0843892637163506e+01,8.1343201700266654e-01,-7.8607785604515277e+00,3.3669887580955016e+00,6.7412341361820505e-01,4.5736653180608027e+03,4.5736653180608027e+03,1.0000000000000000e+00,True,1,1,2.9809983226745214e-18,7.8021758522656835e-18,1.2057167361321683e-02,0.0000000000000000e+00,1.2057169098655797e-02,1.2057169098637381e-02,0.0000000000000000e+00,-6.9760299029466051e-35,4.1894659372513840e-11,4.1894215283303990e-11
