spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,7.4565602134437950e+03,3.7282801067218966e+03,4.9999999999999989e-01,True,1,1,1.2286016646925737e-02,1.5317665972896297e-01,3.7116148505894148e-02,1.5440837381155006e-01,4.1910191178865151e-02,1.5833069256570920e-01,7.4661324346407352e-03,2.2791061235633708e-04,2.2790943968890149e-04,2.2791064270302774e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,4.9612167731004083e+03,2.4806083865502042e+03,4.9999999999999989e-01,True,1,1,1.8406541679509163e-02,2.1378533308488143e-01,5.4105345852717618e-02,2.1613036414618814e-01,6.2733977474260655e-02,2.2203810932735793e-01,1.5636932318636467e-02,6.6936488715068493e-04,6.6936270329934818e-04,6.6936490161186718e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,3.8863103810562607e+03,1.9431551905281299e+03,4.9999999999999983e-01,True,1,1,2.4718177331190649e-02,2.7878311471834555e-01,6.8090913115548879e-02,2.8256365568768965e-01,8.2210504272197879e-02,2.8959903964638295e-01,2.6776891007791553e-02,1.5112061729528337e-03,1.5112062732036526e-03,1.5112062631358501e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,3.3417227079851159e+03,1.6708613539925577e+03,5.0000000000000000e-01,True,1,1,3.1085973849472953e-02,3.4778149924593832e-01,7.8896450379134120e-02,3.5331893268950232e-01,1.0053330952089107e-01,3.6068349061271054e-01,4.0919692647236286e-02,2.9159592089263581e-03,2.9159586706259981e-03,2.9159593003894859e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,3.0656878108725637e+03,1.5328439054362816e+03,4.9999999999999989e-01,True,1,1,3.7354677415251572e-02,4.2011979301574137e-01,8.6435104535885113e-02,4.2773874538418366e-01,1.1802889388056362e-01,4.3478280758472548e-01,5.8118992162207124e-02,5.0644218944486397e-03,5.0644205697424555e-03,5.0644219915376458e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,2.9671140480108043e+03,1.4835570240054021e+03,4.9999999999999989e-01,True,1,1,4.3311578479514619e-02,4.9478436614930682e-01,9.0536270737178126e-02,5.0481251121621284e-01,1.3498486209166627e-01,5.1103482762462249e-01,7.8383128802787694e-02,8.1482096642605806e-03,8.1482038445233902e-03,8.1482097405607013e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,3.0254068240167403e+03,1.5127034120083697e+03,4.9999999999999983e-01,True,1,1,4.8654153914193268e-02,5.7029953356477114e-01,9.0916629224395126e-02,5.8306546177738794e-01,1.5162323297648270e-01,5.8810198054912666e-01,1.0160474453868747e-01,1.2356548040377113e-02,1.2356544615608605e-02,1.2356548072083697e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,3.2732931418085491e+03,1.6366465709042741e+03,4.9999999999999994e-01,True,1,1,5.2948248672831981e-02,6.4460284622187036e-01,8.7187962425027049e-02,6.6043517591461898e-01,1.6811758736724508e-01,6.6405786300922220e-01,1.2748948432631324e-01,1.7858275190517414e-02,1.7858265352835297e-02,1.7858275275210753e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,3.8303467250499143e+03,1.9151733625249567e+03,4.9999999999999994e-01,True,1,1,5.5558368839810732e-02,7.1490421909997781e-01,7.8873894388251042e-02,7.3413925005788039e-01,1.8464420883676258e-01,7.3627087229394872e-01,1.5550100601765987e-01,2.4785663640457423e-02,2.4785660292844562e-02,2.4785663685574052e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,5.0658682136577036e+03,2.5329341068288509e+03,4.9999999999999989e-01,True,1,1,5.5498029132693374e-02,7.7749751957165614e-01,6.5420305991335720e-02,8.0051691567061556e-01,2.0150620984179868e-01,8.0126594672474682e-01,1.8486913361806048e-01,3.3244908097104342e-02,3.3244904931193725e-02,3.3244908004627045e-02
