detail_id,selected_observable,selected_observable_label,selected_spin_case,selected_region,qOut_regime,cluster_id,energy_band_cluster_id,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_92,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_92,gradient_local_minimum,44,44,9.9999993520216557e-01,1.0000000000000000e+00,2.2836004217076438e+00,1.6998044376431991e+00,3.884890266997943,0.32176245258720865,3.1415277415589977,3.143410178046743,1.4140345688711222,5.956614570713254
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_95,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_95,gradient_local_minimum,45,45,9.9999993202473381e-01,1.0000000000000002e+00,3.0377506485152637e+00,1.4875815162673940e+00,4.1659077266089035,2.3811288007641687,1.1899633341080362,6.283030791271385,1.3806999674889222,2.7654401701120235
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_96,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_96,gradient_local_minimum,46,46,9.9999992840779850e-01,9.9999999999999989e-01,2.3295066801430844e+00,1.5736933538662541e+00,3.349748411882565,0.03510782367375175,3.0574920245577806,4.858904991168643,1.0475827510866884,1.7771083297763106
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_97,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_97,gradient_local_minimum,47,47,9.9999992564741313e-01,1.0000000000000002e+00,7.7600509095870596e-01,1.3533118169337066e+00,3.8198925735140645,0.5743605736506092,3.1415760529330115,0.0003994973075787128,0.7642049106937615,1.5893740830936882
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_99,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_99,gradient_local_minimum,48,48,9.9999992080037947e-01,9.9999999999999978e-01,3.0205610239376668e+00,1.4809338435474948e+00,4.456372884602038,2.269329472125136,1.4748471124334408,0.0002519390773454952,1.4569008922030553,2.693431679627663
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_104,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_104,gradient_local_minimum,49,49,9.9999991607327421e-01,9.9999999999999956e-01,8.2486609484949414e-01,1.4135902562499596e+00,4.9999883844097965,0.24823119249586206,3.140580580356865,6.2808768321198,1.9412649663560841,3.0695381942113995
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_105,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_105,gradient_local_minimum,50,50,9.9999991574349201e-01,1.0000000000000002e+00,5.9222685355112747e-01,1.3458528381187764e+00,4.290179871197836,1.11436575547735,2.0268558340835425,0.0006032812214090799,1.5200172222860306,3.14324622169753
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_106,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_106,gradient_local_minimum,51,51,9.9999991491116857e-01,9.9999999999999989e-01,8.0800811859063992e-01,1.5706931107781115e+00,4.270479614648266,0.030293057738599288,3.075234408571175,4.733700824114507,1.4165076435364001,1.5489274615359552
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_109,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_109,gradient_local_minimum,52,52,9.9999990940679928e-01,1.0000000000000000e+00,3.2286635502895406e-03,1.5729288236662564e+00,4.1327755702339495,3.1211481294723256,2.1583563738763916,3.1415127186890452,0.5620176974198471,5.939336547306278e-05
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_110,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_110,gradient_local_minimum,53,53,9.9999990855729126e-01,9.9999999999999978e-01,8.7487569758956052e-01,1.4914850223767531e+00,3.0365338534443724,0.37049959507432456,3.141592653589793,6.282799432955559,1.0343165863672703,4.894196085443801
