canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out
28,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_735,D_W,0.00848145392348843,1.0,0.7832293749922108,2.9506422584477967,1.119760246910594,0.09077519871855463,2.954553126215679,1.6754670201139745,2.04327791279032,6.222121656326048
29,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_772,D_W,0.009584895134509492,0.9999999999999998,0.7870196417431682,2.942401283463172,1.1273675323596575,0.09461558717644183,2.8419704365595906,1.683966831409182,6.255277675270397,0.0001708758449030709
30,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_800,D_W,0.010395558074147989,1.0,0.7868965472267592,2.936883465987277,1.1221687234067916,0.09160753976890601,3.0724644927375886,1.6100398594117675,6.136369271329251,0.004048168899506926
31,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_813,D_W,0.010795072782136417,0.9999999999999998,0.7516773616314217,0.12679047232863827,1.0917311799854392,0.07685699328684084,3.137918258437418,2.0892487301051714,4.313197952341346,3.141511636529449
32,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_815,D_W,0.010864037347544049,0.9999999999999998,0.7988394828485863,2.9379665850383856,1.1251910092956077,0.093578693618219,3.057109581390745,1.5004654398895816,5.206113738950144,0.029256363100589912
33,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_839,D_W,0.011625306343097939,1.0,0.8111155248290224,2.9294070953516407,1.117584053578143,0.09117831349770261,2.5446607410226143,1.328364346799222,1.421169049081897,5.9037961947273745
34,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_870,D_W,0.012380766448827343,1.0,0.7653842672176097,2.992250039945295,1.0870882953776908,0.07128113166783137,3.141592653589793,1.7136143549801077,5.238326945199186,1.725922414475717e-05
35,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_885,D_W,0.013070793224015293,0.9999999999999998,0.8169805302368698,2.9786240569734463,1.1836154531660785,0.12225932737173964,0.0027818165704432043,1.7925646718250245,3.007746992265503,6.280751763905193
36,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_888,D_W,0.013235729533288011,0.9999999999999998,0.8147198753103108,2.958810068773315,1.128330765637455,0.09511369682441197,0.20096109295685124,1.3734623609871757,1.3013661382206245,6.276082144190406
37,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_910,D_W,0.014054220069769537,0.9999999999999998,0.810218012266687,0.13099092311452448,1.2177185154824386,0.13985809974249652,0.0,1.9603752086498547,3.183602502517252,3.141583282919573
38,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_950,D_W,0.016010041901030673,0.9999999999999998,0.818770565485508,2.9968052335710076,1.179741498597472,0.11814913441467037,0.000110249016223892,1.6974736691758412,4.211590252316521,0.0010204798139637318
39,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_991,D_W,0.017984172987538877,0.9999999999999999,0.7891605213164297,3.1125339735344055,1.1068620114457552,0.08395059718079946,3.06041582395442,1.5914322954747981,3.141777750076834,6.275693486998221
40,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_994,D_W,0.018098571967267746,0.9999999999999999,0.777506271777464,0.028423775171061573,1.11025788649162,0.08604421226449088,2.7019652992724428,1.9165274270004888,0.46785869990820095,2.761535216638993
41,W,electron,3,5,dw_mixing_angles_polarization_05_local_minimum_113,D_W,0.00028774990440357776,0.9999999999999999,2.360514145608632,3.009653034568853,1.1531389101298737,0.11862029874449488,0.11892406027724474,2.141297080997679,2.2973579949353446,5.559185178696869
