Q2,t,phi,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,1,-1,-1,1,7,1,1,1,1.8816240638456892e-18,6.9099690052796210e-18,7.1615766959216597e-18,1.3049366907948547e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,2,-1,1,-1,0,-1,-1,-1,3.7952043529171101e-02,1.1482785003069164e-01,1.2093714380086502e-01,1.2515866377576661e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,2,-1,1,-1,1,-1,-1,1,2.4396399373818101e-02,1.2916362077328894e-02,2.7604650182885711e-02,4.8691912112901226e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,2,-1,1,-1,2,-1,1,-1,1.3495383216538301e-01,1.0073730141769217e-18,1.3495383216538301e-01,7.4645750921871399e-18
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,2,-1,1,-1,3,-1,1,1,5.6793018794202642e-02,4.1410590169029149e-02,7.0287153605093078e-02,6.3002257427728670e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,2,-1,1,-1,4,1,-1,-1,7.6335761873442438e-18,-1.0463754203141523e-17,1.2952283097267097e-17,-9.4052814171825172e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,2,-1,1,-1,5,1,-1,1,4.9418919682706199e-18,2.8410105262829110e-17,2.8836719252908919e-17,1.3985712071333971e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,2,-1,1,-1,6,1,1,-1,-1.5061594097743588e-17,-6.2555687185536850e-18,1.6309008454156000e-17,-2.7479389228402731e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,2,-1,1,-1,7,1,1,1,-1.0163084227804834e-17,-4.3676388993857581e-18,1.1061851136988014e-17,-2.7357011631348440e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,3,-1,1,1,0,-1,-1,-1,-5.3074988865553713e-04,-9.8015218936385075e-04,1.1146271836908587e-03,-2.0670882225760132e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,3,-1,1,1,1,-1,-1,1,-2.5251255677630332e-03,-7.8701539474473059e-02,7.8742038167582448e-02,-1.6028701544997075e+00
