Q2,t,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
3.0000000000000000e+00,-5.0000000000000000e-01,8.3826619535120085e+02,1.0000000000000000e+00,True,1,1,3.1345924535013638e-17,6.7685306810045652e-17,1.4042347682299014e-01,0.0000000000000000e+00,1.4042347776432737e-01,1.4042347776432737e-01,0.0000000000000000e+00,-5.5638677429247826e-33,2.6437169467485866e-10,2.6437169467485866e-10
1.0000000000000000e+00,-4.2499999999999999e-01,2.0509446649124510e+02,1.0000000000000000e+00,True,1,1,2.8964239464450658e-17,6.1823311449840402e-17,4.6062466956162318e-01,0.0000000000000000e+00,4.6062467158993353e-01,4.6062467158993303e-01,0.0000000000000000e+00,-4.6610490063780081e-33,1.8685795688533346e-09,1.8685790970085492e-09
1.2500000000000000e+00,-4.2499999999999999e-01,2.0796132778438749e+02,1.0000000000000000e+00,True,1,1,4.7795630180270701e-18,1.6757834156211155e-17,4.1858185632977429e-01,0.0000000000000000e+00,4.1858185962911892e-01,4.1858185962911892e-01,0.0000000000000000e+00,-3.0366922825036927e-34,2.7620916109860616e-09,2.7620916109860616e-09
1.5000000000000000e+00,-4.2499999999999999e-01,2.2276814673895473e+02,1.0000000000000000e+00,True,1,1,3.0140286413533496e-17,6.9892109004279418e-17,3.7195578066995666e-01,0.0000000000000000e+00,3.7195578333677004e-01,3.7195578333677004e-01,0.0000000000000000e+00,-5.7933437661559079e-33,1.9838733156252175e-09,1.9838733156252175e-09
1.7500000000000000e+00,-4.2499999999999999e-01,2.4877233349779866e+02,1.0000000000000000e+00,True,1,1,7.5919041823159558e-17,1.8136063912890628e-17,3.2685408799206578e-01,0.0000000000000000e+00,3.2685409030413054e-01,3.2685409030413021e-01,0.0000000000000000e+00,-6.0926177255991045e-33,1.5114156454165695e-09,1.5114154233719646e-09
2.0000000000000000e+00,-4.2499999999999999e-01,2.8890155358654113e+02,1.0000000000000000e+00,True,1,1,5.9884824395053343e-17,8.5243903960894597e-17,2.8534376149045459e-01,0.0000000000000000e+00,2.8534376398424632e-01,2.8534376398424632e-01,0.0000000000000000e+00,-1.0852715355320598e-32,1.4231758271865402e-09,1.4231758271865402e-09
2.2500000000000000e+00,-4.2499999999999999e-01,3.5045060196043232e+02,9.9999999999999989e-01,True,1,1,5.2877725433717234e-17,1.0417574163845897e-16,2.4775474036739004e-01,0.0000000000000000e+00,2.4775474436374872e-01,2.4775474436374872e-01,0.0000000000000000e+00,-1.3648638992966540e-32,1.9802336298502254e-09,1.9802336298502254e-09
2.5000000000000000e+00,-4.2499999999999999e-01,4.4957417260248053e+02,1.0000000000000000e+00,True,1,1,9.3243335862083545e-17,1.0927970416532082e-16,2.1343325319717601e-01,0.0000000000000000e+00,2.1343325736813915e-01,2.1343325736814123e-01,0.0000000000000000e+00,-2.0636373425149353e-32,1.7804444724101032e-09,1.7804453605885229e-09
2.7500000000000000e+00,-4.2499999999999999e-01,6.2726947879688862e+02,1.0000000000000000e+00,True,1,1,7.4134931331322101e-17,1.1136643288881135e-16,1.8072554275484146e-01,0.0000000000000000e+00,1.8072554461355628e-01,1.8072554461355689e-01,0.0000000000000000e+00,-1.7898470417877965e-32,6.7183449081742452e-10,6.7183471286202945e-10
3.0000000000000000e+00,-4.2499999999999999e-01,1.0288733049164769e+03,9.9999999999999989e-01,True,1,1,1.3881389034792062e-16,3.0461620976107523e-16,1.4581690023142066e-01,0.0000000000000000e+00,1.4581690144224027e-01,1.4581690144224180e-01,0.0000000000000000e+00,-1.1206033140272791e-31,3.5311592538889158e-10,3.5311637294754838e-10
