objective_name,objective_file_tag,local_minimum_index,local_minimum_id,selection_absolute_threshold,contour_delta,configured_direction_count,target_success_count,initial_success_count,attempted_direction_count,replacement_direction_count,contour_point_count,center_u0,center_u1,center_u2,center_u3,center_u4,center_u5,center_u6,center_u7,record_type,contour_sample_id,u0,u1,u2,u3,u4,u5,u6,u7,sqrt_s,theta_p_out,theta_gamma_out,qOut,phi_p_out,phi_gamma_out,alpha_e,alpha_p
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,29,0.5040987367728816,0.5047752958065511,0.6671187846911237,0.4927540121181955,0.5028628782833744,0.6455364169859664,0.49695702502360867,0.24886091268616892,4.994553069465656,0.03763865826773861,0.053482264477549724,0.703049550606187,0.861491273038064,2.76531891479072,1.561236538964008,0.7818196150605192
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,30,0.5046997550215665,0.5001094534364277,0.6626363661371669,0.4974676359543416,0.4994828616488602,0.6455330300858969,0.5017704217017309,0.2492225430212046,4.908851446174929,0.02889710897685717,0.01775786495827783,0.7021386714973644,0.023284969896794103,3.343034619585268,1.5763582706068104,0.7829557102643826
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,31,0.49587286107598155,0.49945831834307286,0.6627025090572221,0.5058933898045891,0.49464779606203124,0.647496130887355,0.5002573510813108,0.2508143000599333,4.929806601753658,0.025578135628774975,0.05392223423894012,0.7125332831480212,3.272095417869176,5.545874303352288,1.5716048190613359,0.7879563624835525
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,32,0.49530779670767827,0.5025237704242731,0.6661169265994608,0.4987445886217969,0.5003328615964666,0.6466736658838541,0.5010505752776129,0.2441589248829457,4.9854478663646775,0.03206201454063381,0.008854730014014144,0.7075579498079699,2.648114101825838,2.8824147568027136,1.5740968063690883,0.7670478847206443
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,33,0.4989674295350077,0.5022451479142171,0.6653946714995749,0.5028253505780113,0.501530326512273,0.6496857739747204,0.5010595164645809,0.24993262202838074,4.999999798346119,0.014940194557368157,0.021462850530698612,0.7222264791132552,2.0018624329251,0.49640312777867823,1.5741248959363814,0.7851864892567955
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,34,0.503149771870719,0.4975713257011637,0.6637204073035342,0.5126101059451128,0.5003581795444185,0.6447963492482943,0.4994968692936584,0.23981169251641998,4.9260215122764865,0.024288933262722787,0.0869042470490672,0.7011202236802597,5.6263392471034415,0.028396531049000414,1.5692156950640583,0.7533906514545193
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,35,0.5001440486508553,0.49959157101781715,0.6654955773097041,0.4998762686490983,0.49950286328512244,0.6495418261906187,0.4995326756447563,0.24744503670105045,4.99999953401235,0.0026169031242458105,0.003425804041871126,0.7213699893051955,5.051457860019655,4.468457201352906,1.5693281840336193,0.7773715094672768
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,36,0.4996621588847679,0.4998175886787346,0.6661350345546689,0.499999171826223,0.4988561945771822,0.648300015479103,0.5002544907178084,0.24709791841169385,4.999999996622985,0.0023110121246891343,0.007712629288843259,0.7153967382555694,3.636673479072652,4.711664929234244,1.57159583296437,0.7762810051995075
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,37,0.49483112825560566,0.501393243744755,0.6648062187685017,0.5122956004302034,0.47177272194722897,0.645841023555383,0.5099042116741767,0.2431852174013796,4.970838292820581,0.03247128092286292,0.20805820474795075,0.7190201704015442,2.8783049139737726,5.123197544176936,1.6019113254300883,0.7639888924498109
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,38,0.4954578035462419,0.4980861615149801,0.6650378252770809,0.5024574910482283,0.499653076764722,0.6498640608944016,0.5028867229670151,0.24777736191834754,4.995599196985811,0.029856566755386144,0.016559213073193368,0.7230192911336585,3.540364670909664,6.1429423512924295,1.57986523446102,0.77841553992854
