local_minimum_id,contour_point_count,original_contour_cut,target_covariance_cut,covariance_rank,covariance_min_eigenvalue,covariance_max_eigenvalue,requested_samples,attempted_samples,accepted_samples,rejected_samples,rejection_fraction
838,971,0.05,0.02,8,2.058871858042688e-05,0.00011749578721187746,2000,4045,2000,2045,0.5055624227441285
839,767,0.05,0.02,8,2.640853590847279e-05,0.00015357584186566212,2000,4052,2000,2052,0.506416584402764
840,1528,0.05,0.02,8,3.0871799124984775e-05,0.00013503247185623368,2000,2000,2000,0,0.0
841,1532,0.05,0.02,8,2.9949405919326815e-05,0.00014391001599474554,2000,2000,2000,0,0.0
842,1535,0.05,0.02,8,3.2793254570766325e-05,0.00013667476393881516,2000,2000,2000,0,0.0
843,1532,0.05,0.02,8,3.0514692525140914e-05,0.00011672126056625942,2000,2000,2000,0,0.0
844,1522,0.05,0.02,8,3.052311423383267e-05,0.00012690525603589257,2000,2000,2000,0,0.0
845,1529,0.05,0.02,8,3.271597468602339e-05,0.00013388592746059791,2000,2000,2000,0,0.0
846,1533,0.05,0.02,8,3.230416092090309e-05,0.0001343737323282087,2000,2000,2000,0,0.0
847,1535,0.05,0.02,8,3.2799138786320254e-05,0.0001262215887300521,2000,2000,2000,0,0.0
848,1534,0.05,0.02,8,3.1279099676609235e-05,0.00012057354777364712,2000,2000,2000,0,0.0
849,1525,0.05,0.02,8,5.2806599376554434e-05,0.00018848035263286238,2000,2000,2000,0,0.0
850,1519,0.05,0.02,8,3.092107143547374e-05,0.00011820858502122639,2000,2000,2000,0,0.0
851,1533,0.05,0.02,8,3.284444117371907e-05,0.00014918294780640664,2000,2000,2000,0,0.0
852,1534,0.05,0.02,8,3.3506279401317784e-05,0.00014067628422901132,2000,2000,2000,0,0.0
853,773,0.05,0.02,8,2.4379808585741628e-05,0.00014329379217022534,2000,4041,2000,2041,0.5050730017322445
854,1486,0.05,0.02,8,2.8518335279856745e-05,0.00012138771345038426,2000,2000,2000,0,0.0
855,1530,0.05,0.02,8,3.319835005981581e-05,0.00012646034563290032,2000,2000,2000,0,0.0
856,1534,0.05,0.02,8,3.404637714606875e-05,0.0001316304347982147,2000,2000,2000,0,0.0
857,1531,0.05,0.02,8,2.9486901428226878e-05,0.00010663104200793571,2000,2000,2000,0,0.0
858,1534,0.05,0.02,8,3.678608297821641e-05,0.0001339688777543864,2000,2000,2000,0,0.0
859,1534,0.05,0.02,8,3.625551612070227e-05,0.00014351663557015732,2000,2000,2000,0,0.0
860,1534,0.05,0.02,8,3.510012679262859e-05,0.0001366173187021999,2000,2000,2000,0,0.0
861,1514,0.05,0.02,8,2.931045406068497e-05,0.0001297984612195819,2000,2000,2000,0,0.0
862,1535,0.05,0.02,8,3.1645994436975094e-05,0.0001207507312853573,2000,2000,2000,0,0.0
863,1512,0.05,0.02,8,2.8835997517828054e-05,0.00014160743596569394,2000,2000,2000,0,0.0
864,1525,0.05,0.02,8,3.0814687737509466e-05,0.00014821676696984726,2000,2000,2000,0,0.0
865,1496,0.05,0.02,8,2.9608290229276408e-05,0.00011389318142596941,2000,2000,2000,0,0.0
866,1523,0.05,0.02,8,3.2142476660006196e-05,0.00014056255311425722,2000,2000,2000,0,0.0
867,1534,0.05,0.02,8,3.2058953304319027e-05,0.00013065102786619887,2000,2000,2000,0,0.0
868,1536,0.05,0.02,8,7.378535334767303e-06,8.544603678955623e-05,2000,2000,2000,0,0.0
869,1500,0.05,0.02,8,2.8751911873699776e-05,0.00011929393245385442,2000,2000,2000,0,0.0
870,1532,0.05,0.02,8,3.195776187303437e-05,0.0001313550912864373,2000,2000,2000,0,0.0
871,1535,0.05,0.02,8,3.353381569473614e-05,0.00012271590771481658,2000,2000,2000,0,0.0
872,1520,0.05,0.02,8,3.0357551161766886e-05,0.00011998443929639678,2000,2000,2000,0,0.0
873,747,0.05,0.02,8,2.411157648926834e-05,0.00017826838546775145,2000,3965,2000,1965,0.49558638083228246
874,1523,0.05,0.02,8,2.817601429749722e-05,0.00011707795650893365,2000,2000,2000,0,0.0
875,1526,0.05,0.02,8,3.0421247182552017e-05,0.00011129426503026158,2000,2000,2000,0,0.0
876,1522,0.05,0.02,8,3.0249782988670568e-05,0.00011257719991227456,2000,2000,2000,0,0.0
877,1515,0.05,0.02,8,3.133384092523161e-05,0.00011991439759884548,2000,2000,2000,0,0.0
878,1528,0.05,0.02,8,3.3590837166347945e-05,0.00014362248018700175,2000,2000,2000,0,0.0
879,1483,0.05,0.02,8,2.8329756295812885e-05,0.0001184941729945573,2000,2000,2000,0,0.0
880,1198,0.05,0.02,8,1.8284677298373134e-05,9.891379278077861e-05,2000,2824,2000,824,0.29178470254957506
881,1533,0.05,0.02,8,3.297804847013937e-05,0.00014264170737213986,2000,2000,2000,0,0.0
882,1535,0.05,0.02,8,3.0627529200269614e-05,0.00015398604605900627,2000,2000,2000,0,0.0
883,1535,0.05,0.02,8,3.2596643920262195e-05,0.00012683500676909727,2000,2000,2000,0,0.0
884,776,0.05,0.02,8,3.37265869474917e-05,0.0001386180845919452,2000,4083,2000,2083,0.5101640950281655
885,1452,0.05,0.02,8,2.5459566330100808e-05,0.00011202342846070633,2000,2006,2000,6,0.0029910269192422734
886,1531,0.05,0.02,8,3.1320154358776065e-05,0.00013379421632043115,2000,2000,2000,0,0.0
887,1532,0.05,0.02,8,3.2063093395563575e-05,0.00015135930032580036,2000,2000,2000,0,0.0
888,1534,0.05,0.02,8,3.192118615601685e-05,0.00011507946424806202,2000,2000,2000,0,0.0
889,1535,0.05,0.02,8,3.233063977886394e-05,0.00013358890663047796,2000,2000,2000,0,0.0
890,1535,0.05,0.02,8,3.339934980844936e-05,0.00014282597511136146,2000,2000,2000,0,0.0
891,1533,0.05,0.02,8,3.1781486660792326e-05,0.0001473721502227373,2000,2000,2000,0,0.0
892,1535,0.05,0.02,8,3.301619271642513e-05,0.00014189775997001003,2000,2000,2000,0,0.0
893,1535,0.05,0.02,8,3.3635546136959094e-05,0.00012440260081336674,2000,2000,2000,0,0.0
894,1535,0.05,0.02,8,3.16930871071961e-05,0.0001324131207643087,2000,2000,2000,0,0.0
895,1535,0.05,0.02,8,3.0394547940647568e-05,0.00011075914600239809,2000,2000,2000,0,0.0
896,1535,0.05,0.02,8,3.5360061512032684e-05,0.00015779324799710276,2000,2000,2000,0,0.0
897,1531,0.05,0.02,8,3.093954753927682e-05,0.00013636979985738145,2000,2000,2000,0,0.0
898,1536,0.05,0.02,8,2.0274719848877906e-05,0.00012092776600423799,2000,2000,2000,0,0.0
899,1535,0.05,0.02,8,3.221411451005814e-05,0.0001538684675586193,2000,2000,2000,0,0.0
900,1534,0.05,0.02,8,3.082900928802656e-05,0.00011588378874557367,2000,2000,2000,0,0.0
901,1535,0.05,0.02,8,3.1610005411810184e-05,0.0001276847859825204,2000,2000,2000,0,0.0
902,1534,0.05,0.02,8,3.1049461527469156e-05,0.00011971953711914423,2000,2000,2000,0,0.0
903,1533,0.05,0.02,8,3.315879492392903e-05,0.00014275127719000694,2000,2000,2000,0,0.0
904,1534,0.05,0.02,8,3.1899705260499625e-05,0.00015588892889286044,2000,2000,2000,0,0.0
905,1524,0.05,0.02,8,3.0418257157886483e-05,0.00012847310343364749,2000,2000,2000,0,0.0
906,1533,0.05,0.02,8,3.030165011980158e-05,0.0001541220371499038,2000,2000,2000,0,0.0
907,1534,0.05,0.02,8,3.5615177974641986e-05,0.00015797177229894883,2000,2000,2000,0,0.0
908,1298,0.05,0.02,8,2.046816979127754e-05,8.953466969381051e-05,2000,2317,2000,317,0.1368148467846353
909,1530,0.05,0.02,8,3.0777785087227223e-05,0.00012992950387169137,2000,2000,2000,0,0.0
910,1491,0.05,0.02,8,2.694615742702015e-05,9.343560700587601e-05,2000,2000,2000,0,0.0
911,1535,0.05,0.02,8,3.1506462292647197e-05,0.00013847578266805004,2000,2000,2000,0,0.0
912,1534,0.05,0.02,8,3.19851298145286e-05,0.00015885156818027946,2000,2000,2000,0,0.0
913,1534,0.05,0.02,8,2.9484854506273382e-05,0.00011093319722020655,2000,2000,2000,0,0.0
914,1534,0.05,0.02,8,2.9101628961849262e-05,0.00011596449320202439,2000,2000,2000,0,0.0
915,1534,0.05,0.02,8,3.472122900775679e-05,0.0001466538530868083,2000,2000,2000,0,0.0
916,1535,0.05,0.02,8,3.347013049916921e-05,0.00014131120516651987,2000,2000,2000,0,0.0
917,1526,0.05,0.02,8,2.6943350041773717e-05,0.00012199807964958525,2000,2000,2000,0,0.0
918,1536,0.05,0.02,8,1.2651321081729936e-05,8.150991874181077e-05,2000,2000,2000,0,0.0
919,1535,0.05,0.02,8,3.297180982968526e-05,0.00012862235737520116,2000,2000,2000,0,0.0
920,1533,0.05,0.02,8,3.2085754480162274e-05,0.00014325995121766965,2000,2000,2000,0,0.0
921,1535,0.05,0.02,8,3.3218901426300784e-05,0.00012036626982544984,2000,2000,2000,0,0.0
922,1533,0.05,0.02,8,3.246656087857507e-05,0.00015291386724459983,2000,2000,2000,0,0.0
923,1527,0.05,0.02,8,2.782176001063017e-05,0.00011060498682075203,2000,2000,2000,0,0.0
924,1526,0.05,0.02,8,2.998315405742709e-05,0.00011971157300397175,2000,2000,2000,0,0.0
925,1535,0.05,0.02,8,3.236246471447297e-05,0.00013625527665534038,2000,2000,2000,0,0.0
926,1534,0.05,0.02,8,3.1454296047367956e-05,0.0001585693755054103,2000,2000,2000,0,0.0
927,1535,0.05,0.02,8,3.3197030820097946e-05,0.00016541204703873563,2000,2000,2000,0,0.0
928,1535,0.05,0.02,8,3.0406936062726856e-05,0.000125164651547407,2000,2000,2000,0,0.0
929,1535,0.05,0.02,8,3.14586423543879e-05,0.00012979715671161844,2000,2000,2000,0,0.0
930,1533,0.05,0.02,8,3.06689157796851e-05,0.00011151137286060387,2000,2000,2000,0,0.0
931,1534,0.05,0.02,8,2.935391071519874e-05,0.00012875700142326636,2000,2000,2000,0,0.0
932,1534,0.05,0.02,8,3.176957813607874e-05,0.00013824465426440439,2000,2000,2000,0,0.0
