spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.6782358319999997e+01,qOut,4.5624999999999999e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.6666115938939907e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.4141461029729196e+00,8.2822509787604526e-01,-6.4856195433940966e+00,1.9021890712350560e-02,8.6716670995170744e-03,2.6249482319308473e+00,6.3884553916903963e-01,4.9761306538722412e+00,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-2.8283182399828958e-17,4.9074214458540143e-18,-3.1895245396307281e-02,0.0000000000000000e+00,-3.1895247565583984e-02,-3.1895247565593053e-02,0.0000000000000000e+00,8.1247727993906852e-34,-2.2247256909751372e-10,-2.2247323523132850e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,4.5624999999999999e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.7505354232832087e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.0941970882746670e+00,8.3383833387101947e-01,-7.0943850599633258e+00,1.6243416184000086e-02,6.9807363527464644e-03,2.6920741157322250e+00,6.3433561701380814e-01,3.5786513678343592e+00,4.4408920985006262e-16,2.2204460492503131e-16,True,1,1,-3.7066626703554044e-17,-9.1693672486149892e-18,-2.9019789320346392e-02,0.0000000000000000e+00,-2.9019794918280148e-02,-2.9019794918280148e-02,0.0000000000000000e+00,2.7192934017138876e-33,-4.6864234135745491e-10,-4.6864234135745491e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,4.5624999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.8309810187574240e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.7729518954439989e+00,8.3886520340861737e-01,-7.7046043303676077e+00,1.4008680389438472e-02,5.6956768606174915e-03,2.7570974721560724e+00,6.3027177162149894e-01,2.6284990689388863e+00,-2.2204460492503131e-16,-5.5511151231257827e-17,True,1,1,-1.9477621074237952e-17,-1.2603162197444074e-17,-2.6622063855378436e-02,0.0000000000000000e+00,-2.6622055347124831e-02,-2.6622055347163415e-02,0.0000000000000000e+00,1.9188083398370920e-33,8.2800680560986750e-11,8.2800680340758184e-11
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.0655210239999995e+01,qOut,4.5624999999999999e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,1.9083511737992174e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0450541510368373e+01,8.4340477384789647e-01,-8.3161121541771479e+00,1.2186204316182806e-02,4.7022174283117705e-03,2.8201992860648333e+00,6.2658241804745507e-01,1.9664389388764412e+00,1.1102230246251565e-16,0.0000000000000000e+00,True,1,1,-6.6476273328349527e-18,-2.9628903495850735e-17,-2.4593591240895021e-02,0.0000000000000000e+00,-2.4593589499247462e-02,-2.4593589499297179e-02,0.0000000000000000e+00,1.5682776180209228e-33,-9.9278144858233651e-11,-9.9278810988660295e-11
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.1946160879999997e+01,qOut,4.5624999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,1.9829761515836033e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1127076769227312e+01,8.4753386471416281e-01,-8.9287728167114029e+00,1.0681926777995208e-02,3.9225669409138674e-03,2.8815367495930380e+00,6.2321143243053478e-01,1.4951410969476626e+00,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-3.1251938704893037e-17,-1.3822145123952559e-17,-2.2856057313470984e-02,1.4901161193847656e-08,-2.2856059096171156e-02,-2.2856059096179191e-02,8.2235986527024829e-11,2.2204460492503131e-16,-2.0178771968857039e-10,-2.0178816377778024e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.3237111519999996e+01,qOut,4.5624999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.0551307971104578e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1802652359746858e+01,8.5131311387709308e-01,-9.5424731791078514e+00,9.4269179671004205e-03,3.3026016852025189e-03,2.9412472589838616e+00,6.2011404597312458e-01,1.1532416504184275e+00,-5.5511151231257827e-17,-1.1102230246251565e-16,True,1,1,-2.4692204079012656e-17,-4.7326184704750058e-17,-2.1351643837602841e-02,-6.1722630615993611e-09,-2.1351653449690935e-02,-2.1351653449690935e-02,-5.5314293062630522e-10,-2.2204460492503141e-16,-5.1975681883894838e-10,-5.1975681883894838e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.4528062159999998e+01,qOut,4.5624999999999999e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.1250467748482542e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2477349874807423e+01,8.5479113501449111e-01,-1.0157117720712021e+01,8.3700231183847611e-03,2.8037773404266508e-03,2.9994516317721205e+00,6.1725401075966480e-01,9.0103749947825751e-01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-7.6548700100595808e-17,8.1843429387527494e-19,-2.0036713839230249e-02,0.0000000000000000e+00,-2.0036706613363358e-02,-2.0036706613402261e-02,0.0000000000000000e+00,9.0332944417896430e-33,-1.0910625376938212e-10,-1.0910625376599399e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.5819012799999996e+01,qOut,4.5624999999999999e-01,2.5819012799999996e+01,5.0812412656751498e+00,2.4540429686412759e+00,2.1929215308402652e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.3151240173804240e+01,8.5800743760291243e-01,-1.0772624900324599e+01,7.4722212630226152e-03,2.3981875928413485e-03,3.0562567082569743e+00,6.1460159338033826e-01,7.1216153455803921e-01,1.6653345369377348e-16,2.7755575615628914e-16,True,1,1,-1.2645392281202510e-17,-6.0872646095616576e-17,-1.8877810780494386e-02,0.0000000000000000e+00,-1.8877808544194588e-02,-1.8877808544277210e-02,0.0000000000000000e+00,6.2747227839825402e-33,-4.8058097449076064e-11,-4.8059207560292340e-11
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.5491407679999998e+01,qOut,6.1250000000000004e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.4627142137467350e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.0779557016737691e+00,7.9144750198568992e-01,-5.4679285796938544e+00,2.5464101874666176e-02,1.2940324948730231e-02,3.0084473959375164e+00,6.9852613458351531e-01,4.7561461143830375e+00,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-4.4876904573917605e-17,-8.4774825825733757e-17,-5.6455380942641256e-02,0.0000000000000000e+00,-5.6455378127990188e-02,-5.6455378128031322e-02,0.0000000000000000e+00,1.8166423814757589e-32,-3.9842933652719159e-10,-3.9842978060962517e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.6782358319999997e+01,qOut,6.1250000000000004e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.5532327316436296e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.7722799075844122e+00,7.9784041102065495e-01,-6.0633072903855174e+00,2.1370748594920750e-02,1.0174693047966862e-02,3.1025949111256583e+00,6.9140203853688953e-01,3.2976721689410669e+00,-2.2204460492503131e-16,-1.1102230246251565e-16,True,1,1,-5.1437320313509914e-17,-1.1460334742359240e-17,-5.0364838618235042e-02,0.0000000000000000e+00,-5.0364839157541565e-02,-5.0364839157539587e-02,0.0000000000000000e+00,3.3444173782152805e-33,-1.6624525513804153e-10,-1.6624503309343661e-10
