detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_low_egamma_ty_proton_region_2,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_2,2,1.4714895968381825e-12,2.9012088474859503e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,6,1,1,-1,-1.0265531793222429e+05,-1.5504081224769566e+05,1.8594560430994671e+05,-2.1556432631142606e+00,3.4575767762191269e+10,1.7287883881095634e+10,5.3928587199792793e-02,6,9.7536450745726710e-01
c_ep_low_egamma_ty_proton_region_3,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_3,3,7.6580408681081735e-13,2.9703711834414479e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,4.0076168260006253e+06,-2.3573720158795710e+06,4.6495371216171011e+06,-5.3171486376321930e-01,2.1618195445295438e+13,1.0809097722647719e+13,2.7411182905441517e-01,1,1.0000000000000000e+00
c_ep_low_egamma_ty_proton_region_3,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_3,3,7.6580408681081735e-13,2.9703711834414479e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,1.0560376553440797e+06,-3.8309754334800439e+06,3.9738631457854998e+06,-1.3018188140229647e+00,1.5791588301432232e+13,7.8957941507161162e+12,2.0023230726789920e-01,2,1.0000000000000000e+00
c_ep_low_egamma_ty_proton_region_3,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_3,3,7.6580408681081735e-13,2.9703711834414479e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,3.1068000549029009e+06,-1.8274746622139323e+06,3.6044237018112331e+06,-5.3171096714853561e-01,1.2991870222178594e+13,6.4959351110892969e+12,1.6473277422486998e-01,3,1.0000000000000000e+00
c_ep_low_egamma_ty_proton_region_3,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_3,3,7.6580408681081735e-13,2.9703711834414479e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,4,1,-1,-1,8.1865165671354602e+05,-2.9698599065488339e+06,3.0806262998887226e+06,-1.3018228580530389e+00,9.4902583995660820e+12,4.7451291997830410e+12,1.2033345219247715e-01,4,1.0000000000000000e+00
c_ep_low_egamma_ty_proton_region_3,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_3,3,7.6580408681081735e-13,2.9703711834414479e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,-2.6525588532284615e+06,5.6788400618251553e+05,2.7126667164099966e+06,2.9306872856488391e+00,7.3585607143185928e+12,3.6792803571592964e+12,9.3304204863629767e-02,5,1.0000000000000000e+00
c_ep_low_egamma_ty_proton_region_3,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_3,3,7.6580408681081735e-13,2.9703711834414479e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,2,-1,1,-1,-1.4853561742562661e+06,-1.5122798538266541e+06,2.1197342570924256e+06,-2.3472130943933962e+00,4.4932733206911777e+12,2.2466366603455889e+12,5.6973273809683263e-02,6,1.0000000000000000e+00
c_ep_low_egamma_ty_proton_region_3,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_3,3,7.6580408681081735e-13,2.9703711834414479e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,6,1,1,-1,-2.0563205803697794e+06,4.4024417703950568e+05,2.1029192244757046e+06,2.9306834255140020e+00,4.4222692646694990e+12,2.2111346323347495e+12,5.6072965006590265e-02,7,1.0000000000000000e+00
c_ep_low_egamma_ty_proton_region_3,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_3,3,7.6580408681081735e-13,2.9703711834414479e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,3,-1,1,1,-1.1514762199736265e+06,-1.1723575560908760e+06,1.6432649586990294e+06,-2.3472090049350607e+00,2.7003197244881230e+12,1.3501598622440615e+12,3.4239193580435243e-02,8,1.0000000000000000e+00
c_ep_mid_egamma_ty_proton_region_0,egamma_region_max,C_e_p,C_{ep},Ty_proton,mid_Egamma_Ty_proton_region_0,0,9.6953001182953358e-12,2.5541702232240766e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,2.7957931021278084e+05,-1.3669357834033053e+04,2.7991327593140193e+05,-4.8853691227273691e-02,7.8351442042649185e+10,3.9175721021324593e+10,4.4800528473805473e-01,1,9.8497622159347920e-01
