spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
unpolarized,pure_initial_state,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,5.2359877559829882e-01,7.0736444405469179e+00,8.0451474381099208e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,4.2607269118787983e-01,2.5042360547168345e-02,2.5042360547168345e-02,1.0000000000000000e+00,True,1,1,4.6752572914475691e-18,6.8241158278140990e-17,6.7857793983452291e-02,0.0000000000000000e+00,6.7857800421952386e-02,6.7857800421952386e-02,0.0000000000000000e+00,-4.6787137138835240e-33,8.7380486700483484e-10,8.7380486700483484e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,9.6249999999999991e-01,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,9.6249999999999991e-01,0.0000000000000000e+00,5.2359877559829882e-01,6.3843707261484397e+00,7.8788631617076987e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.9267117372332871e-01,2.2820867715138422e-02,2.2820867715138422e-02,1.0000000000000000e+00,True,1,1,5.5165491026890522e-18,3.2016798999139214e-17,7.4112017881453898e-02,1.4901161193847656e-08,7.4112020210686927e-02,7.4112020210691423e-02,1.2751994973071281e-09,2.2204460492503131e-16,3.4524832558807672e-10,3.4524899172189150e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.9451860546290609e+00,7.7573112958550294e-01,-6.6866369495914180e+00,1.8033294955086928e-02,8.0588341964111521e-03,2.5986356148061667e+00,3.7138872210870477e-01,2.1652283886377174e-02,2.1652283886377174e-02,9.9999999999999978e-01,True,1,1,3.4364613749763615e-18,1.0855150916131034e-17,7.8087471548899792e-02,0.0000000000000000e+00,7.8087475395642064e-02,7.8087475395640649e-02,0.0000000000000000e+00,-1.2964356819368487e-34,6.0076477039622267e-10,6.0076454921897948e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.7969602128085675e+00,7.7130809342441276e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.6420584549402679e-01,2.1293410509966904e-02,2.1293410509966904e-02,1.0000000000000000e+00,True,1,1,3.4841654870759248e-18,2.3108766224907205e-17,7.9428080615740790e-02,0.0000000000000000e+00,7.9428086255159319e-02,7.9428086255159319e-02,0.0000000000000000e+00,-5.4615448557874298e-34,8.9585641075556888e-10,8.9585641075556888e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,5.2359877559829882e-01,5.9534868482098311e+00,7.7597377062217521e-01,-6.6866369495914180e+00,1.8033294955086928e-02,8.0588341964111521e-03,2.5986356148061667e+00,3.7179097029540614e-01,2.1672878186407382e-02,2.1672878186407382e-02,9.9999999999999978e-01,True,1,1,3.2604063355369464e-18,4.2453987143415237e-17,7.8012385679641888e-02,2.1073424255447017e-08,7.8012385679642776e-02,7.8012385679642776e-02,1.8983139448745596e-09,4.4408920985006271e-16,1.3877787807814457e-16,1.3877787807814457e-16
unpolarized,pure_initial_state,user_frame_independent,theta_in,2.1875000000000000e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.1875000000000000e+00,0.0000000000000000e+00,5.2359877559829882e-01,6.4001998554213495e+00,7.8829986198298063e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,3.9343823755706148e-01,2.2866199402981281e-02,2.2866199402981281e-02,1.0000000000000000e+00,True,1,1,1.8925155709485188e-18,3.2375413281775956e-17,7.3968621336852891e-02,0.0000000000000000e+00,7.3968624255090001e-02,7.3968624255083992e-02,0.0000000000000000e+00,-1.0517490003520776e-33,4.3171595985602718e-10,4.3171507167760748e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,2.4937499999999999e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.4937499999999999e+00,0.0000000000000000e+00,5.2359877559829882e-01,7.0955288733665389e+00,8.0500009988149535e-01,-6.6866369495914171e+00,1.8033294955086931e-02,8.0588341964111555e-03,2.5986356148061667e+00,4.2713318899848379e-01,2.5122194754636826e-02,2.5122194754636826e-02,1.0000000000000002e+00,True,1,1,3.9905319614900380e-18,5.8769333311847881e-17,6.7658815789170643e-02,2.1073424255447017e-08,6.7658821952176540e-02,6.7658821952179829e-02,1.6463755616654660e-09,4.4408920985006271e-16,8.3396339920632778e-10,8.3396384416289937e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,5.2359877559829882e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.4766394361031705e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,5.2359877559829882e-01,7.9747677531838832e+00,8.2268725557281464e-01,-6.6866369495914189e+00,1.8033294955086925e-02,8.0588341964111486e-03,2.5986356148061667e+00,4.6974022911368740e-01,2.8957565093572321e-02,2.8957565093572321e-02,9.9999999999999978e-01,True,1,1,1.2043658608528702e-17,7.2604163845090946e-17,5.9633858328968906e-02,0.0000000000000000e+00,5.9633859398971686e-02,5.9633859398977265e-02,0.0000000000000000e+00,-5.4164143203235986e-33,1.2761678953171485e-10,1.2761745479816788e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,3.4999999999999998e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,3.4999999999999998e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.8610104497726958e+00,9.1658385754877947e-01,-6.2117962694306836e+00,2.0499274451686245e-02,9.6095556965624749e-03,1.6862637332873653e+00,4.6847403484493438e-01,3.8870164579722866e-02,3.8870164579722866e-02,1.0000000000000004e+00,True,1,1,9.9706224168562601e-19,1.3357180965598308e-17,5.3109388114397221e-02,0.0000000000000000e+00,5.3109388234781174e-02,5.3109388234779085e-02,0.0000000000000000e+00,-1.7940841646153689e-34,1.2787036186845402e-11,1.2786814575921346e-11
unpolarized,pure_initial_state,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,2.0499274451686242e-02,9.6095556965624714e-03,1.6862637332873653e+00,4.4398728532495196e-01,3.5359861633884132e-02,3.5359861633884132e-02,1.0000000000000000e+00,True,1,1,2.0224604728169054e-18,1.8015651170594055e-17,5.7678081576452926e-02,0.0000000000000000e+00,5.7678084555891442e-02,5.7678084555891442e-02,0.0000000000000000e+00,-3.2865403346463369e-34,3.4369660459679374e-10,3.4369660459679374e-10
