detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_low_egamma_l_proton_region_3,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_3,3,0.0000000000000000e+00,6.4744694167308192e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,4,1,-1,-1,-1.9111453941004782e-02,2.1511268092515132e-03,1.9232135042387462e-02,3.0295074613667188e+00,3.6987501828862781e-04,1.8493750914431390e-04,2.6486804375158782e-02,6,1.0000000000000002e+00
f3_low_egamma_l_proton_region_3,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_3,3,0.0000000000000000e+00,6.4744694167308192e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,0,-1,-1,-1,-2.1452957127896491e-03,1.9059163433714350e-02,1.9179520444691723e-02,1.6828843460303999e+00,3.6785400448834777e-04,1.8392700224417388e-04,2.6342079280138330e-02,7,1.0000000000000002e+00
f3_low_egamma_l_proton_region_3,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_3,3,0.0000000000000000e+00,6.4744694167308192e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,1,-1,-1,1,2.0696774615475526e-03,-1.8387600873869175e-02,1.8503713970215611e-02,-1.4587097737180006e+00,3.4238743069155234e-04,1.7119371534577617e-04,2.4518414190827256e-02,8,1.0000000000000002e+00
f3_mid_egamma_l_proton_region_0,egamma_region_max,F3,F_3,L_proton,mid_Egamma_L_proton_region_0,0,5.0323361582725714e-14,9.9999999999997469e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,2.9685417431817335e+04,2.7399928036660498e-06,2.9685417431817335e+04,9.2300969321363795e-11,8.8122400810124457e+08,4.4061200405062228e+08,7.6746633840818446e-01,1,9.9999999999993805e-01
f3_mid_egamma_l_proton_region_0,egamma_region_max,F3,F_3,L_proton,mid_Egamma_L_proton_region_0,0,5.0323361582725714e-14,9.9999999999997469e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,1.6340163860907567e+04,-1.5082185017336814e-06,1.6340163860907567e+04,-9.2301308271575182e-11,2.6700095500130969e+08,1.3350047750065485e+08,2.3253366159175365e-01,2,9.9999999999993805e-01
f3_mid_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,mid_Egamma_L_proton_region_1,1,0.0000000000000000e+00,8.2118247973438829e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,2.6934505326750532e+04,-9.0911395511424358e+04,9.4817453092937387e+04,-1.2827631712809155e+00,8.9903494110313816e+09,4.4951747055156908e+09,6.4214559374415026e-01,1,9.6202922503169019e-01
f3_mid_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,mid_Egamma_L_proton_region_1,1,0.0000000000000000e+00,8.2118247973438829e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,1.4826003649764749e+04,-5.0041625554849539e+04,5.2191710763248680e+04,-1.2827619079976142e+00,2.7239746723946080e+09,1.3619873361973040e+09,1.9456288664404581e-01,2,9.6202922503169019e-01
f3_mid_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,mid_Egamma_L_proton_region_1,1,0.0000000000000000e+00,8.2118247973438829e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,7.4510115093834647e+03,-2.5149099503651443e+04,2.6229654560392632e+04,-1.2827618444987985e+00,6.8799477835752594e+08,3.4399738917876297e+08,4.9140783660663712e-02,3,9.6202922503169019e-01
f3_mid_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,mid_Egamma_L_proton_region_1,1,0.0000000000000000e+00,8.2118247973438829e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,2,-1,1,-1,-2.4404519045275436e+04,7.2304120546460535e+03,2.5453082491344390e+04,2.8535581714024696e+00,6.4785940831118238e+08,3.2392970415559119e+08,4.6274070716567604e-02,4,9.6202922503169019e-01
f3_mid_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,mid_Egamma_L_proton_region_1,1,0.0000000000000000e+00,8.2118247973438829e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,0,-1,-1,-1,-1.9619138750697839e+04,5.8126024152504378e+03,2.0462085723525568e+04,2.8535594981085084e+00,4.1869695215690887e+08,2.0934847607845443e+08,2.9905890266262735e-02,5,9.6202922503169019e-01
f3_mid_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,mid_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.4156891388129731e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,1.4228585010585579e-01,6.4746372612036768e-03,1.4243308628268303e-01,4.5473066295366633e-02,2.0287184068010229e-02,1.0143592034005115e-02,6.0908952442990050e-01,1,9.4546495943921405e-01
f3_mid_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,mid_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.4156891388129731e-01,nan,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-7.2605702446169693e-02,-3.3040944324742765e-03,7.2680843884206786e-02,-3.0961166604917265e+00,5.2825050677204393e-03,2.6412525338602197e-03,1.5859857576635852e-01,2,9.4546495943921405e-01
