spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,2.6576197248855055e+02,1.3288098624427528e+02,5.0000000000000000e-01,True,1,1,8.2548321580913422e-02,7.6600474165372945e-01,7.6363479566309039e-02,8.0777845506468204e-01,2.6753344461566886e-01,8.0716986330781249e-01,2.4599845957726096e-01,5.8928542834861930e-02,5.8928537580625162e-02,5.8928542984881788e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,7.5543636177204220e+01,3.7771818088602103e+01,4.9999999999999989e-01,True,1,1,8.3397810245307236e-02,5.2469629071851820e-02,3.9513304912059921e-01,1.2549580559573376e-01,4.1124963569027784e-01,4.0610852062864894e-01,5.8470379754123974e-02,6.0409404934722083e-03,6.0409415943320777e-03,6.0409420449102080e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,7.4221774243578054e+01,3.7110887121789020e+01,5.0000000000000000e-01,True,1,1,1.0580129635743418e-01,1.1942738353695581e-01,3.7742451713342812e-01,2.0497985928612886e-01,4.1255679564133141e-01,4.1625964856208869e-01,9.5023844840223581e-02,1.6559928463564428e-02,1.6559929185528288e-02,1.6559928949149066e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,8.1078178244863651e+01,4.0539089122431818e+01,4.9999999999999989e-01,True,1,1,1.1635796961547290e-01,2.0323264513773659e-01,3.4864498640279235e-01,2.8629191195062814e-01,4.0275659755815407e-01,4.3586375137212668e-01,1.2941451798695314e-01,2.7120373705629738e-02,2.7120373239782322e-02,2.7120375166698643e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,9.0629956418613801e+01,4.5314978209306901e+01,5.0000000000000000e-01,True,1,1,1.2175007883700019e-01,2.8896839817399833e-01,3.1694325383891125e-01,3.6777617701315496e-01,3.9014049859134653e-01,4.6998857646760733e-01,1.6116060200685012e-01,3.6933499538349290e-02,3.6933500790292173e-02,3.6933500712805017e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,1.0219764041879404e+02,5.1098820209397005e+01,4.9999999999999989e-01,True,1,1,1.2402206622460676e-01,3.7344390539821543e-01,2.8377897427444587e-01,4.4795765503433910e-01,3.7647870770962866e-01,5.1557258883985346e-01,1.8964967429335700e-01,4.5824237314171928e-02,4.5824238207834642e-02,4.5824237643700708e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,1.1621044316924653e+02,5.8105221584623258e+01,4.9999999999999989e-01,True,1,1,1.2377173902387603e-01,4.5506584813913276e-01,2.4966940614092431e-01,5.2530260196003931e-01,3.6220534295380175e-01,5.6829410803374991e-01,2.1425912904988148e-01,5.3538454102404764e-02,5.3538454720524840e-02,5.3538454720525396e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,1.3372068235384637e+02,6.6860341176923171e+01,4.9999999999999978e-01,True,1,1,1.2109542628163680e-01,5.3232720419937385e-01,2.1490992075317483e-01,5.9812551344724263e-01,3.4722924782252845e-01,6.2392010926384933e-01,2.3424049536138519e-01,5.9717775239474358e-02,5.9717774238931660e-02,5.9717776374955921e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,1.5653345005119121e+02,7.8266725025595576e+01,4.9999999999999989e-01,True,1,1,1.1589718097673575e-01,6.0364853559777376e-01,1.7982698936222752e-01,6.6467203782643114e-01,3.3126289326102970e-01,6.7874480320704345e-01,2.4877634634224019e-01,6.3965206780649708e-02,6.3965201790231435e-02,6.3965207248148720e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,1.8776931736240243e+02,9.3884658681201188e+01,4.9999999999999978e-01,True,1,1,1.0799580537327721e-01,6.6750516249721259e-01,1.4488308268548361e-01,7.2328706008374433e-01,3.1396199564801791e-01,7.2970691703357482e-01,2.5710259802082641e-01,6.5917935345933099e-02,6.5917933084614577e-02,6.5917935157765631e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,2.3329739331976140e+02,1.1664869665988067e+02,4.9999999999999994e-01,True,1,1,9.7138395359342752e-02,7.2265548602122198e-01,1.1072689444425524e-01,7.7264044384525465e-01,2.9496227892391308e-01,7.7446615981328160e-01,2.5862926228622724e-01,6.5306436135835644e-02,6.5306432981731069e-02,6.5306436066093709e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-8.9999999999999991e-01,6.9999999999999996e-01,3.0579526593650019e+02,1.5289763296825009e+02,5.0000000000000000e-01,True,1,1,8.2914766612937174e-02,7.6845762268481121e-01,7.8266673014563901e-02,8.1202026304735708e-01,2.7381646981682156e-01,8.1155882174868010e-01,2.5299151740275161e-01,6.1974931214629492e-02,6.1974928515699856e-02,6.1974931190945659e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,8.7091036274914586e+01,4.3545518137457293e+01,4.9999999999999989e-01,True,1,1,8.3745644491944299e-02,5.4054056957172789e-02,4.0375968491081843e-01,1.2849675616722012e-01,4.2025166377414835e-01,4.1535523283310527e-01,6.1209862057740816e-02,6.5762423005976210e-03,6.5762447742853392e-03,6.5762452090304402e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,8.6524533907908506e+01,4.3262266953954253e+01,5.0000000000000000e-01,True,1,1,1.0539926493844522e-01,1.2435279154904540e-01,3.8553426117388151e-01,2.0911537386962345e-01,4.2059753838922909e-01,4.2574276355146445e-01,9.8982909343855716e-02,1.7156617773027495e-02,1.7156617710623767e-02,1.7156617411507147e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,9.4489450852744383e+01,4.7244725426372185e+01,5.0000000000000000e-01,True,1,1,1.1598211864301687e-01,2.0876672740011062e-01,3.5651500351414189e-01,2.9141742612949112e-01,4.1041871177973049e-01,4.4561778924107032e-01,1.3443394727017752e-01,2.7888717937662469e-02,2.7888719403322021e-02,2.7888719888058272e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,1.0541123785568954e+02,5.2705618927844768e+01,4.9999999999999994e-01,True,1,1,1.2159065926192929e-01,2.9445490031350097e-01,3.2450439310052909e-01,3.7354664542398269e-01,3.9766381526141947e-01,4.7964143811108167e-01,1.6702443406135892e-01,3.8049119569126280e-02,3.8049120406975057e-02,3.8049119693090105e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,1.1863557523179071e+02,5.9317787615895341e+01,5.0000000000000000e-01,True,1,1,1.2411037252669217e-01,3.7865382995815988e-01,2.9095739386100766e-01,4.5408442827678158e-01,3.8401842362020100e-01,5.2482900964263912e-01,1.9622360035064385e-01,4.7410560492754217e-02,4.7410560068640292e-02,4.7410561378100777e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,1.3470281097448924e+02,6.7351405487244634e+01,5.0000000000000022e-01,True,1,1,1.2409141506017399e-01,4.5986495146680689e-01,2.5635237314925091e-01,5.3154176156557220e-01,3.6983429897762204e-01,5.7693544235599836e-01,2.2143717451755573e-01,5.5662191409026590e-02,5.5662190189379984e-02,5.5662191839690067e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,1.5485923434581034e+02,7.7429617172905154e+01,4.9999999999999989e-01,True,1,1,1.2161303532994061e-01,5.3660870148993756e-01,2.2096456365630598e-01,6.0426114986187685e-01,3.5497601503824300e-01,6.3179675934063417e-01,2.4192217850898803e-01,6.2392908355519361e-02,6.2392902498447818e-02,6.2392908206788646e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,1.8123239106421434e+02,9.0616195532107156e+01,4.9999999999999989e-01,True,1,1,1.1657110867589074e-01,6.0732152885132307e-01,1.8512017418180912e-01,6.7051050753884456e-01,3.3913769472254374e-01,6.8575870139751149e-01,2.5686299774857957e-01,6.7156077935764169e-02,6.7156073714691594e-02,6.7156078246989576e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,2.1751146826890903e+02,1.0875573413445449e+02,4.9999999999999994e-01,True,1,1,1.0877862941948449e-01,6.7049725041020480e-01,1.4929523114621343e-01,7.2865818531398774e-01,3.2197088520821937e-01,7.3579822408146556e-01,2.6550162645329078e-01,6.9543397999047241e-02,6.9543394660381549e-02,6.9543397710792376e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,2.7067681219389590e+02,1.3533840609694789e+02,4.9999999999999983e-01,True,1,1,9.7976527447958511e-02,7.2491811845311049e-01,1.1416081548245773e-01,7.7740098208180519e-01,3.0311499560059452e-01,7.7960604057514549e-01,2.6726130836120443e-01,6.9246608549396793e-02,6.9246608835568102e-02,6.9246608248037689e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-7.9999999999999993e-01,6.9999999999999996e-01,3.5593570190720533e+02,1.7796785095360264e+02,4.9999999999999989e-01,True,1,1,8.3745560405994166e-02,7.6996868678092767e-01,8.0652028946860452e-02,8.1605476316680792e-01,2.8213177995703953e-01,8.1574310109769044e-01,2.6179856900908466e-01,6.6080278976374585e-02,6.6080272600768139e-02,6.6080278592085318e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-6.9999999999999996e-01,6.9999999999999996e-01,1.0281971905401596e+02,5.1409859527007967e+01,4.9999999999999989e-01,True,1,1,8.3939372980070634e-02,5.5711272776432633e-02,4.1314934861948344e-01,1.3119098578334595e-01,4.2988337371448393e-01,4.2527360891414462e-01,6.3966009707936589e-02,7.0615105001485849e-03,7.0615123951557612e-03,7.0615122597872948e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-6.9999999999999996e-01,6.9999999999999996e-01,1.0273046237099021e+02,5.1365231185495091e+01,4.9999999999999978e-01,True,1,1,1.0527006303758071e-01,1.2853552178274402e-01,3.9500961898768611e-01,2.1299996390006168e-01,4.2997698110638793e-01,4.3625657286204095e-01,1.0321006454611335e-01,1.7765818089529095e-02,1.7765819016629908e-02,1.7765817912574033e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-6.9999999999999996e-01,6.9999999999999996e-01,1.1185607590486737e+02,5.5928037952433662e+01,4.9999999999999983e-01,True,1,1,1.1616520223735713e-01,2.1323093956802172e-01,3.6603115892830163e-01,2.9632379354895844e-01,4.1990375645007344e-01,4.5639045314160076e-01,1.4001341648353993e-01,2.8846002823338338e-02,2.8846001163640916e-02,2.8846002823338740e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-6.9999999999999996e-01,6.9999999999999996e-01,1.2434654084123594e+02,6.2173270420617968e+01,5.0000000000000000e-01,True,1,1,1.2217746451495169e-01,2.9873854590487164e-01,3.3386039423319297e-01,3.7914036693378839e-01,4.0738858650335680e-01,4.9018654481471124e-01,1.7378904504989684e-01,3.9575366194028308e-02,3.9575364740357721e-02,3.9575367070484813e-02
