W: selected 1255 minima at absolute D < 0.01
GHZ: selected 950 minima at absolute D < 0.01
CEP: selected 1675 minima at absolute D < 0.01
CEGAMMA: selected 1640 minima at absolute D < 0.01
CPGAMMA: selected 2019 minima at absolute D < 0.01
resume audit: 1/7539 compatible checkpoints; requested 7539; processing 7538 with 24 workers
[151/7538] W minimum 152: status=ok, initial=100.0%, attempts=512, task=6.1 min, ETA=30.53 h
[152/7538] W minimum 153: status=ok, initial=100.0%, attempts=512, task=6.2 min, ETA=30.38 h
[153/7538] W minimum 151: status=ok, initial=100.0%, attempts=512, task=6.4 min, ETA=30.29 h
[154/7538] W minimum 155: status=ok, initial=100.0%, attempts=512, task=6.2 min, ETA=30.26 h
[155/7538] W minimum 156: status=ok, initial=100.0%, attempts=512, task=6.3 min, ETA=30.11 h
[156/7538] W minimum 157: status=ok, initial=100.0%, attempts=512, task=6.2 min, ETA=30.01 h
[157/7538] W minimum 154: status=ok, initial=100.0%, attempts=512, task=6.5 min, ETA=29.82 h
[158/7538] W minimum 159: status=ok, initial=100.0%, attempts=512, task=6.3 min, ETA=29.68 h
[159/7538] W minimum 161: status=ok, initial=100.0%, attempts=512, task=6.3 min, ETA=29.52 h
[160/7538] W minimum 160: status=ok, initial=100.0%, attempts=512, task=6.3 min, ETA=29.36 h
[161/7538] W minimum 158: status=ok, initial=100.0%, attempts=512, task=6.4 min, ETA=29.24 h
[162/7538] W minimum 163: status=ok, initial=100.0%, attempts=512, task=6.2 min, ETA=29.16 h
[163/7538] W minimum 165: status=ok, initial=100.0%, attempts=512, task=6.1 min, ETA=29.05 h
[164/7538] W minimum 162: status=ok, initial=100.0%, attempts=512, task=6.4 min, ETA=28.94 h
[165/7538] W minimum 164: status=ok, initial=100.0%, attempts=512, task=6.3 min, ETA=28.83 h
[166/7538] W minimum 166: status=ok, initial=100.0%, attempts=512, task=6.3 min, ETA=28.67 h
[167/7538] W minimum 167: status=ok, initial=100.0%, attempts=512, task=6.3 min, ETA=28.62 h
[168/7538] W minimum 168: status=ok, initial=100.0%, attempts=512, task=6.3 min, ETA=28.69 h
