detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,initial_spin_averaging_version,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_low_egamma_l_proton_region_0,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_0,0,1.7779111516347257e-12,2.8887537235812442e+00,high_s_high_theta_in_low_Egamma,kp,1.9306651960224890e+00,-4.8296291314453405e-01,-1.8692819272810350e+00,0.0000000000000000e+00,1.9306651960224890e+00,4.4595500503761407e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9986914498322959e+00,1.5707949999999999e+00,2.8797932657906431e+00,5.0000000000000000e-01,6.0213859193804362e+00,8.5122491954144497e+00,7.5749270769702071e-01,-6.5988834118940058e+00,3.6049956520391864e+00,5.4455324905280289e-01
c_ep_low_egamma_l_proton_region_0,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_0,0,1.7779111516347257e-12,2.8887537235812442e+00,high_s_high_theta_in_low_Egamma,pp,2.2078522395379463e+00,0.0000000000000000e+00,1.9986914498322959e+00,0.0000000000000000e+00,1.9986914498322959e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9986914498322959e+00,1.5707949999999999e+00,2.8797932657906431e+00,5.0000000000000000e-01,6.0213859193804362e+00,8.5122491954144497e+00,7.5749270769702071e-01,-6.5988834118940058e+00,3.6049956520391864e+00,5.4455324905280289e-01
c_ep_low_egamma_l_proton_region_0,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_0,0,1.7779111516347257e-12,2.8887537235812442e+00,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,4.8296291314453405e-01,-1.2940952255126079e-01,0.0000000000000000e+00,5.0000000000000000e-01,6.0213859193804362e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9986914498322959e+00,1.5707949999999999e+00,2.8797932657906431e+00,5.0000000000000000e-01,6.0213859193804362e+00,8.5122491954144497e+00,7.5749270769702071e-01,-6.5988834118940058e+00,3.6049956520391864e+00,5.4455324905280289e-01
c_ep_low_egamma_l_proton_region_1,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_1,1,1.2585071873516540e-12,2.9341404923339605e+00,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,-1.9264021835373273e+00,1.1122088192327602e+00,-2.9513459707981364e-06,2.2244176384674761e+00,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.8072600190465198e+00,1.5707949999999999e+00,5.7595865315812871e+00,5.0000000000000000e-01,2.6179938779914940e+00,1.5597467515601611e+01,9.3230426349721018e-01,-1.2091500999721376e+01,2.0123949196817605e+00,8.1072002497011897e-01
c_ep_low_egamma_l_proton_region_1,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_1,1,1.2585071873516540e-12,2.9341404923339605e+00,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,1.9264021835373271e+00,-1.1122088192327599e+00,2.9513459707981364e-06,2.2244176384674756e+00,5.7595865315812871e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.8072600190465198e+00,1.5707949999999999e+00,5.7595865315812871e+00,5.0000000000000000e-01,2.6179938779914940e+00,1.5597467515601611e+01,9.3230426349721018e-01,-1.2091500999721376e+01,2.0123949196817605e+00,8.1072002497011897e-01
c_ep_low_egamma_l_proton_region_1,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_1,1,1.2585071873516540e-12,2.9341404923339605e+00,high_s_high_theta_in_low_Egamma,kp,2.1023365063584105e+00,4.3301270189221924e-01,-2.0572600190465198e+00,0.0000000000000000e+00,2.1023365063584105e+00,4.9198411416405223e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.8072600190465198e+00,1.5707949999999999e+00,5.7595865315812871e+00,5.0000000000000000e-01,2.6179938779914940e+00,1.5597467515601611e+01,9.3230426349721018e-01,-1.2091500999721376e+01,2.0123949196817605e+00,8.1072002497011897e-01
c_ep_low_egamma_l_proton_region_1,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_1,1,1.2585071873516540e-12,2.9341404923339605e+00,high_s_high_theta_in_low_Egamma,pp,2.0361809292015352e+00,0.0000000000000000e+00,1.8072600190465198e+00,0.0000000000000000e+00,1.8072600190465198e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.8072600190465198e+00,1.5707949999999999e+00,5.7595865315812871e+00,5.0000000000000000e-01,2.6179938779914940e+00,1.5597467515601611e+01,9.3230426349721018e-01,-1.2091500999721376e+01,2.0123949196817605e+00,8.1072002497011897e-01
c_ep_low_egamma_l_proton_region_1,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_1,1,1.2585071873516540e-12,2.9341404923339605e+00,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,-4.3301270189221924e-01,2.5000000000000017e-01,0.0000000000000000e+00,5.0000000000000000e-01,2.6179938779914940e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.8072600190465198e+00,1.5707949999999999e+00,5.7595865315812871e+00,5.0000000000000000e-01,2.6179938779914940e+00,1.5597467515601611e+01,9.3230426349721018e-01,-1.2091500999721376e+01,2.0123949196817605e+00,8.1072002497011897e-01
c_ep_low_egamma_l_proton_region_2,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_2,2,7.9841688815918133e-13,2.9758993504820728e+00,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,1.5729007963499342e+00,1.5729007963499337e+00,-2.9513459707981364e-06,2.2244176384674761e+00,7.8539816339744817e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7606656499420317e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.0000000000000000e-01,7.8539816339744828e-01,1.7299543209447414e+01,9.5844972703817854e-01,-1.3410987636456024e+01,1.6298058625680163e+00,8.7466103275903462e-01
c_ep_low_egamma_l_proton_region_2,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_2,2,7.9841688815918133e-13,2.9758993504820728e+00,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,-1.5729007963499342e+00,-1.5729007963499337e+00,2.9513459707981364e-06,2.2244176384674761e+00,3.9269908169872410e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7606656499420317e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.0000000000000000e-01,7.8539816339744828e-01,1.7299543209447414e+01,9.5844972703817854e-01,-1.3410987636456024e+01,1.6298058625680163e+00,8.7466103275903462e-01
c_ep_low_egamma_l_proton_region_2,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_2,2,7.9841688815918133e-13,2.9758993504820728e+00,high_s_high_theta_in_low_Egamma,kp,2.1435769525169905e+00,-3.5355339059327379e-01,-2.1142190405353056e+00,0.0000000000000000e+00,2.1435769525169905e+00,4.5466956772769693e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7606656499420317e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.0000000000000000e-01,7.8539816339744828e-01,1.7299543209447414e+01,9.5844972703817854e-01,-1.3410987636456024e+01,1.6298058625680163e+00,8.7466103275903462e-01
c_ep_low_egamma_l_proton_region_2,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_2,2,7.9841688815918133e-13,2.9758993504820728e+00,high_s_high_theta_in_low_Egamma,pp,1.9949404830434909e+00,0.0000000000000000e+00,1.7606656499420317e+00,0.0000000000000000e+00,1.7606656499420317e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7606656499420317e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.0000000000000000e-01,7.8539816339744828e-01,1.7299543209447414e+01,9.5844972703817854e-01,-1.3410987636456024e+01,1.6298058625680163e+00,8.7466103275903462e-01
c_ep_low_egamma_l_proton_region_2,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_2,2,7.9841688815918133e-13,2.9758993504820728e+00,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,3.5355339059327379e-01,3.5355339059327379e-01,0.0000000000000000e+00,5.0000000000000000e-01,7.8539816339744828e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.7606656499420317e+00,1.5707949999999999e+00,3.9269908169872414e+00,5.0000000000000000e-01,7.8539816339744828e-01,1.7299543209447414e+01,9.5844972703817854e-01,-1.3410987636456024e+01,1.6298058625680163e+00,8.7466103275903462e-01
c_ep_low_egamma_l_proton_region_3,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_3,3,4.8046289169434431e-13,2.9241486655660731e+00,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,-1.7647491636793604e+00,-1.3541396603044722e+00,-2.9513459707981364e-06,2.2244176384674761e+00,3.7960911230876664e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0998086032446661e+00,1.5707949999999999e+00,6.5449846949787327e-01,5.0000000000000000e-01,3.7960911230876664e+00,4.7177389756735533e+00,5.6868918008360625e-01,-3.6572953579653475e+00,4.4579178178456962e+00,4.0200682271366794e-01
c_ep_low_egamma_l_proton_region_3,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_3,3,4.8046289169434431e-13,2.9241486655660731e+00,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,1.7647491636793604e+00,1.3541396603044720e+00,2.9513459707981364e-06,2.2244176384674761e+00,6.5449846949787327e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0998086032446661e+00,1.5707949999999999e+00,6.5449846949787327e-01,5.0000000000000000e-01,3.7960911230876664e+00,4.7177389756735533e+00,5.6868918008360625e-01,-3.6572953579653475e+00,4.4579178178456962e+00,4.0200682271366794e-01
c_ep_low_egamma_l_proton_region_3,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_3,3,4.8046289169434431e-13,2.9241486655660731e+00,high_s_high_theta_in_low_Egamma,kp,1.8387261036664180e+00,3.9667667014561769e-01,-1.7954278887403059e+00,0.0000000000000000e+00,1.8387261036664180e+00,4.9298329684084097e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0998086032446661e+00,1.5707949999999999e+00,6.5449846949787327e-01,5.0000000000000000e-01,3.7960911230876664e+00,4.7177389756735533e+00,5.6868918008360625e-01,-3.6572953579653475e+00,4.4579178178456962e+00,4.0200682271366794e-01
c_ep_low_egamma_l_proton_region_3,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_3,3,4.8046289169434431e-13,2.9241486655660731e+00,high_s_high_theta_in_low_Egamma,pp,2.2997913318952041e+00,0.0000000000000000e+00,2.0998086032446661e+00,0.0000000000000000e+00,2.0998086032446661e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0998086032446661e+00,1.5707949999999999e+00,6.5449846949787327e-01,5.0000000000000000e-01,3.7960911230876664e+00,4.7177389756735533e+00,5.6868918008360625e-01,-3.6572953579653475e+00,4.4579178178456962e+00,4.0200682271366794e-01
c_ep_low_egamma_l_proton_region_3,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_3,3,4.8046289169434431e-13,2.9241486655660731e+00,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,-3.9667667014561769e-01,-3.0438071450436016e-01,0.0000000000000000e+00,5.0000000000000000e-01,3.7960911230876664e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0998086032446661e+00,1.5707949999999999e+00,6.5449846949787327e-01,5.0000000000000000e-01,3.7960911230876664e+00,4.7177389756735533e+00,5.6868918008360625e-01,-3.6572953579653475e+00,4.4579178178456962e+00,4.0200682271366794e-01
